Area,ISOCode,Year,Age,Sex,Population
Afghanistan,4,1970,0--4,Male,1117.38
Afghanistan,4,1975,0--4,Male,1277.03
Afghanistan,4,1980,0--4,Male,1356.03
Afghanistan,4,1985,0--4,Male,1230.69
Afghanistan,4,1990,0--4,Male,1295.74
Afghanistan,4,1995,0--4,Male,1999.94
Afghanistan,4,2000,0--4,Male,2330.76
Afghanistan,4,2005,0--4,Male,2650.07
Afghanistan,4,2010,0--4,Male,2852.49
Afghanistan,4,2015,0--4,Male,3233.02
Azerbaijan,31,1970,0--4,Male,382.69
Azerbaijan,31,1975,0--4,Male,355.52
Azerbaijan,31,1980,0--4,Male,360.24
Azerbaijan,31,1985,0--4,Male,414.75
Azerbaijan,31,1990,0--4,Male,485.76
Azerbaijan,31,1995,0--4,Male,458.63
Azerbaijan,31,2000,0--4,Male,364.46
Azerbaijan,31,2005,0--4,Male,348.22
Azerbaijan,31,2010,0--4,Male,427.96
Azerbaijan,31,2015,0--4,Male,528.11
Bahrain,48,1970,0--4,Male,17.72
Bahrain,48,1975,0--4,Male,20.15
Bahrain,48,1980,0--4,Male,25.27
Bahrain,48,1985,0--4,Male,29.77
Bahrain,48,1990,0--4,Male,33.62
Bahrain,48,1995,0--4,Male,30.86
Bahrain,48,2000,0--4,Male,30.74
Bahrain,48,2005,0--4,Male,30.25
Bahrain,48,2010,0--4,Male,47.49
Bahrain,48,2015,0--4,Male,63.55
Bangladesh,50,1970,0--4,Male,6151.92
Bangladesh,50,1975,0--4,Male,6243.99
Bangladesh,50,1980,0--4,Male,7177.18
Bangladesh,50,1985,0--4,Male,7993.83
Bangladesh,50,1990,0--4,Male,8402.15
Bangladesh,50,1995,0--4,Male,8457.52
Bangladesh,50,2000,0--4,Male,8402.11
Bangladesh,50,2005,0--4,Male,8178.52
Bangladesh,50,2010,0--4,Male,7514.64
Bangladesh,50,2015,0--4,Male,7511.39
Armenia,51,1970,0--4,Male,149.73
Armenia,51,1975,0--4,Male,153.62
Armenia,51,1980,0--4,Male,169.02
Armenia,51,1985,0--4,Male,193.41
Armenia,51,1990,0--4,Male,197.53
Armenia,51,1995,0--4,Male,148.71
Armenia,51,2000,0--4,Male,105.1
Armenia,51,2005,0--4,Male,112.58
Armenia,51,2010,0--4,Male,121.01
Armenia,51,2015,0--4,Male,104.13
Bhutan,64,1970,0--4,Male,27.09
Bhutan,64,1975,0--4,Male,32.33
Bhutan,64,1980,0--4,Male,38.4
Bhutan,64,1985,0--4,Male,42.37
Bhutan,64,1990,0--4,Male,46.6
Bhutan,64,1995,0--4,Male,41.31
Bhutan,64,2000,0--4,Male,36.91
Bhutan,64,2005,0--4,Male,36.86
Bhutan,64,2010,0--4,Male,35.97
Bhutan,64,2015,0--4,Male,37.85
Brunei Darussalam,96,1970,0--4,Male,9.82
Brunei Darussalam,96,1975,0--4,Male,13.02
Brunei Darussalam,96,1980,0--4,Male,14.87
Brunei Darussalam,96,1985,0--4,Male,15.52
Brunei Darussalam,96,1990,0--4,Male,17.38
Brunei Darussalam,96,1995,0--4,Male,19.04
Brunei Darussalam,96,2000,0--4,Male,17.84
Brunei Darussalam,96,2005,0--4,Male,18.94
Brunei Darussalam,96,2010,0--4,Male,19.23
Brunei Darussalam,96,2015,0--4,Male,18.65
Myanmar,104,1970,0--4,Male,2103.33
Myanmar,104,1975,0--4,Male,2382.9
Myanmar,104,1980,0--4,Male,2383.97
Myanmar,104,1985,0--4,Male,2437.19
Myanmar,104,1990,0--4,Male,2483.12
Myanmar,104,1995,0--4,Male,2338.8
Myanmar,104,2000,0--4,Male,2265.08
Myanmar,104,2005,0--4,Male,2063.94
Myanmar,104,2010,0--4,Male,1999.21
Myanmar,104,2015,0--4,Male,1880.62
Cambodia,116,1970,0--4,Male,603.7
Cambodia,116,1975,0--4,Male,553.41
Cambodia,116,1980,0--4,Male,363.42
Cambodia,116,1985,0--4,Male,887.64
Cambodia,116,1990,0--4,Male,915.81
Cambodia,116,1995,0--4,Male,953.49
Cambodia,116,2000,0--4,Male,826.17
Cambodia,116,2005,0--4,Male,757.76
Cambodia,116,2010,0--4,Male,761.25
Cambodia,116,2015,0--4,Male,787.13
Sri Lanka,144,1970,0--4,Male,906.39
